transaction_id,month,year,customers,units_sold,revenue,expenses,discount_rate
151,3,2023,713,596,50751.51,39997.04,0.198
152,2,2024,435,954,84936.96,57961.16,1.25
153,5,2022,645,1063,79412.7,62668.73,0.324
154,12,2023,581,988,26398.7,21458.85,0.294
155,3,2022,426,844,"41122,39",15451.24,0.117
156,12,2021,551,1325,24322.58,12325.34,0.139
157,April,2024,518,773,34565.0,24078.86,0.158
158,5,2023,428,534,28215.41,11743.33,0.062
159,7,2022,96,252,"$11,567.89",7205.37,0.221
160,Jul,2024,413,341,23560.5,10217.64,0.336
161,7,2022,387,375,35534.74,20824.48,0.208
162,8,2024,287,268,20300.18,9107.79,0.314
163,10,24,351,306,16630.84,10235.87,0.023
164,2,2024,354,832,-44015.5,26253.64,0.154
165,3,2025,569,631,20197.34,15249.78,0.331
166,6,2025,171,264,10255.7,6693.69,0.143
167,July,2021,532,454,15931.7,"7,306.36",0.235
168,12,2025,572,480,12487.85,9065.69,0.062
169,12,2023,273,272,9989.0,6887.07,0.299
170,Jun,2025,505,1242,60340.25,40065.93,0.072
171,6,2023,491,405,9956.58,4457.63,0.009
172,9,2023,382,444,27925.02,15304.85,0.312
173,7,2021,357,470,22201.07,13929.81,0.094
174,12,2021,545,1116,55269.56,33684.71,0.153
175,November,2023,445,1035,29796.32,22590.97,0.171
176,2,2022,408,1056,84045.83,46212.63,0.008
177,11,2023,456,942,35661.63,14817.31,0.292
178,5,2022,214,592,"$34,619.06",14910.06,0.095
179,10,FY2023,443,597,36221.01,23767.05,0.29
180,1,2022,302,366,6897.88,2858.04,0.315
181,10,2021,450,900,62287.04,26934.44,0.32
182,12,21,537,879,"$41,753.97",24797.32,0.016
183,10,2021,482,465,29965.86,13943.54,0.136
184,Mar,2021,332,457,20741.77,14269.33,10.4
185,11,2024,306,650,58588.33,40678.4,0.075
186,12,2021,735,633,24177.01,15223.94,0.018
187,9,2024,727,1067,82543.38,33025.7,2.6
188,2,2022,408,920,51660.6,(34795.95),0.152
189,4,2021,504,1209,86433.38,41307.22,0.207
190,6,FY2023,352,535,13402.72,10469.37,0.048
191,8,2022,411,480,28668.66,"21,796.34",0.256
192,11,2023,494,1192,81921.77,55327.5,0.297
193,11,2024,411,510,47965.72,38070.77,0.014
194,7,FY2022,220,486,43372.64,18861.48,0.199
195,6,2023,290,768,71248.5,56557.43,0.166
196,8,2023,546,1378,114415.76,57205.27,0.29
197,9,2022,431,543,14815.02,5721.09,0.244
198,12,2023,364,538,39708.19,15117.6,0.11
199,7,2025,593,852,"$56,396.98",43223.18,0.216
200,5,2025,443,560,11132.16,8448.71,0.7%
201,3,2023,429,1148,91273.24,74755.43,0.123
202,9,2025,547,1276,62458.52,35947.47,0.22
203,12,2021,366,601,44951.1,20777.53,0.039
204,12,2022,594,896,35945.19,17586.72,0.082
205,11,2022,415,650,45716.35,20690.27,0.332
206,6,2022,448,1062,26427.5,14436.36,0.308
207,12,2024,-414,839,"25892,89",21124.69,0.081
208,7,2022,500,1342,91286.59,58025.07,0.179
209,6,2022,343,425,13751.19,9851.42,0.123
210,2,2021,356,325,30101.79,23039.29,0.325
211,8,2023,590,1293,38596.03,(28307.93),7.9%
212,May,2025.0,351,437,25934.65,16304.64,0.203
213,5,2023,346,891,81602.38,61626.12,0.283
214,6,2023,373,787,47547.41,18585.51,0.143
215,10,2025,254,570,32023.99,12428.25,0.077
216,5,2024,332,719,17156.83,12868.78,0.173
217,2,2021,723,1770,79262.92,53000.55,0.198
218,9,2021,356,474,40600.24,29426.66,0.23
219,10,2025,518,1.1k,79941.27,51222.16,0.263
220,1,2025,480,536,46003.3,34951.76,0.01
221,3,2023,399,586,44096.58,"18,765.61",0.286
222,5,2024,437,1076,61412.72,21678.77,0.1
223,3,24,442,912,34660.45,22459.37,0.189
224,7,2021,425,1002,26289.98,18604.97,0.189
225,4,2023,408,842,75583.11,30095.65,0.328
226,12,2022,453,985,22875.1,11242.03,0.248
227,3,2022,435,648,42645.2,(15842.64),0.305
228,8,2024,335,920,85195.31,59835.76,0.046
229,10,2025,607,1315,68819.88,32937.51,0.349
230,10,2025,412,680,35874.62,15314.99,1.25
231,1,2024,297,286,20133.96,(13240.5),0.096
232,10,2021,505,1364,40417.31,22358.75,0.33
233,10,2023,641,1022,39975.09,32478.54,0.143
234,5,2022,291,753,26887.0,12103.43,0.011
235,1,2024,269,680,"$37,017.27",29800.79,0.065
236,8,2021,593,1504,117008.13,83348.78,0.296
237,2,2024,497,528,10826.38,8474.87,0.216
238,8,2024,579,1385,76281.95,30904.48,0.044
239,2,2023,338,405,22620.38,8599.78,0.204
240,8,2021,636,850,67500.24,33471.35,15.9%
241,3,2022,365,730,29534.35,19984.17,0.301
242,1,2021,129,304,6399.4,3685.02,0.037
243,March,2021,419,853,61492.6,37697.11,0.003
244,10,2021,280,406,23492.7,9192.63,0.123
245,2,2022,299,578,41089.33,29842.18,0.07
246,12,2025,386,438,11410.65,7406.91,0.247
247,6,2022,427,947,80556.2,55231.01,0.281
248,2,2021,342,505,40774.47,15806.39,0.313
249,7,2025,578,985,66542.15,39752.9,25.6%
250,2,25,443,426,9647.67,4497.15,0.056
251,3,2021,381,1048,46050.14,20059.23,0.276
252,4,2025,470,995,"56079,26",342656.0,0.252
253,6,2024,-424,508,35751.81,13726.31,0.011
254,9,2023,434,570,30564.52,23170.6,0.255
255,9,FY2023,362,540,25147.79,20475.21,0.014
256,December,2022,608,1540,96339.33,53579.05,0.254
257,2,2022,549,1428,72074.75,34603.74,0.207
258,2,FY2025,415,1089,37266.66,23954.8,0.221
259,12,2021,344,767,67492.55,29322.21,0.083
260,8,2024,467,1280,40877.09,30721.63,0.172
261,11,2023,485,819,47207.93,24493.35,0.208
262,10,2021,375,422,20303.8,16357.22,0.09
263,7,2022,264,619,17379.83,14004.94,0.159
264,7,2022,559,711,16821.73,7229.75,0.182
265,Jun,2025,539,895,33250.14,21282.02,0.247
266,3,2025,360,408,12609.93,4630.81,0.258
267,2,2024,381,948,75874.7,47430.53,0.304
268,9,2021,669,810,21560.43,10279.63,0.02
269,5,2025,507,445,12194.1,6859.59,0.327
270,6,FY2025,426,610,34804.82,12861.75,1.25
271,12,2025,529,904,52161.61,30241.11,0.233
272,Feb,2023,461,497,10093.06,4993.31,0.247
273,3,2024,493,1350,34060.98,22688.8,0.155
274,9,2023,293,743,23508.92,15881.08,0.293
275,1,2022,438,785,51475.78,39038.48,0.2
276,2,2023,463,398,35693.85,24060.42,0.237
277,9,2023,496,787,53630.07,21457.32,0.23
278,9,2025,282,789,17131.03,13863.66,0.142
279,12,2022,458,885,66251.62,50543.51,0.141
280,10,2022,470,683,47403.4,34589.67,0.267
281,2,2022,384,935,25484.45,15441.28,0.002
282,8,2021,585,847,39146.25,20990.26,0.243
283,7,2024,301,383,17901.57,8177.74,0.026
284,7,2024,161,323,22433.12,14383.23,0.162
285,8,2022,537,987,54183.34,19617.17,0.119
286,5,2024,381,594,28933.36,18016.25,0.187
287,1,2023,586,1421,104152.87,83228.16,0.006
288,1,2023,487,580,10777.76,7052.03,0.314
289,7,2022,432,397,35710.77,18400.43,0.035
290,1,2025,412,729,27535.64,13324.23,0.108
291,2,2022,441,627,40752.3,27980.15,0.095
292,11,2021,587,955,26152.89,11380.17,0.238
293,9,2023,432,958,25127.88,15494.77,0.09
294,8,2022,259,705,38939.28,28379.59,0.193
295,4,2024,435,1175,75580.83,"55,553.33",0.309
296,8,2024,368,462,15859.28,10104.92,14.4%
297,4,2023,270,637,24944.96,18375.17,0.148
298,Oct,FY2022,336,717,18180.41,11693.89,0.158
299,Oct,2021,277,629,53109.85,23998.63,0.034
300,4,2024,457,387,26096.11,16579.75,0.191
301,4,2024,353,702,39488.24,32153.66,0.048
302,9,2024,255,558,27415.96,15113.15,0.251
303,8,2021,488,657,15843.75,6183.17,0.313
304,5,2025,615,727,31188.02,14238.22,0.124
305,13,2024,424,396,31532.47,14500.04,0.189
306,3,2022,327,837,57014.4,34236.59,0.114
307,8,2023,567,1580,108959.36,66700.37,0.256
308,3,2023,274,474,10727.08,6589.43,0.335
309,12,2023,484,581,34429.32,(13614.66),0.158
310,11,2025,309,714,31960.79,21174.3,0.278
311,2,2023,288,802,71682.02,43280.16,0.295
312,10,2025,382,703,46409.32,18187.28,0.264
313,7,2021,436,1030,74750.54,27433.1,0.106
314,4,2023,401,531,24282.9,9499.28,0.328
315,4,2021,199,317,16621.77,10509.6,0.18
316,Feb,2025,480,1266,71232.99,58148.51,0.298
317,4,2024,429,669,57269.09,43409.21,28.2%
318,3,2021,408,971,40257.95,15621.38,0.141
319,December,2023,484,722,67234.07,43786.65,0.288
320,12,2022,312,332,28012.54,21953.31,0.17
321,2,2024,586,673,38157.48,20504.75,0.051
322,6,2024,486,746,17343.95,6280.79,0.047
323,3,2025,426,1163,59664.62,29626.68,0.177
324,8,2021,483,810,21170.31,13785.86,0.076
325,9,2024,603,665,15111.41,10834.25,0.161
326,11,2025,566,518,49005.24,18482.66,0.243
327,10,FY2021,346,755,17211.33,10144.85,0.349
328,3,2021,383,929,60730.49,29997.17,0.218
329,1,2023,113,119,10265.95,5763.29,0.068
330,10,2023,532,816,40708.6,30081.33,0.257
331,4,2025,350,293,11135.65,78766.5,4.8%
332,3,2024,109,203,7017.82,2496.22,0.084
333,Apr,2024,418,426,25642.17,"14,450.83",0.296
334,1,2022,489,487,27074.55,11385.47,0.114
335,13,2025,399,619,29943.92,16946.46,0.275
336,7,2022,625,1615,"$147,870.64",106443.88,0.11
337,8,2022,347,454,37567.19,13826.99,0.316
338,7,2021,639,1100,73770.97,48681.19,0.313
339,1,2025,576,537,31101.65,13080.71,0.258
340,10,2023,607,1107,77907.94,28793.7,0.03
341,6,2025,376,354,6702.05,5358.66,25.8%
342,1,2021,442,665,27154.1,13967.0,0.271
343,11,2021,294,337,8619.27,5691.67,0.268
344,10,2025,484,643,12611.01,4900.9,0.339
345,6,2023,539,1104,52339.92,23378.83,0.042
346,9,2023,329,667,51790.42,33800.24,0.186
347,6,2021,342,943,60677.22,37846.73,0.262
348,1,2024,531,1286,88153.82,36161.14,0.118
349,3,2025,294,493,32141.8,25496.34,0.084
350,10,2024,184,191,"$6,342.20",4863.55,0.226
351,4,2023,523,1319,109716.54,85786.87,0.088
352,13,2022,350,808,43196.93,32213.65,0.255
353,3,2024,499,576,34541.03,28074.77,0.328
354,6,2021,560,496,15222.61,6270.38,0.254
355,2,2025,356,644,"53280,78",36999.06,0.19
356,8,2021,490,970,55429.45,27151.99,0.198
357,4,2021,510,1057,80972.92,34432.41,0.162
358,5,2025,465,380,14057.82,9720.1,0.347
359,June,2024,394,0.9k,"$31,856.65",19460.91,0.257
360,3,2023,317,644,"$20,915.77",10814.1,0.274
361,6,2022,403,935,19372.24,13570.15,0.071
362,4,2022,421,1143,52956.83,26672.12,0.052
363,8,2021,506,1413,65506.45,367391.0,0.253
364,7,2024,375,964,61372.49,32773.96,0.144
365,July,2022,236,563,14165.24,(8873.89),0.168
366,7,2025,571,1190,27362.53,17035.7,0.197
367,December,2024,667,1436,114857.24,54765.74,0.289
368,12,2022,565,1015,"$24,292.49",9170.87,11.7%
369,5,2021,503,1195,69106.51,38484.97,0.052
370,Jun,2021,534,777,39952.94,15647.26,7.7
371,Nov,2023,601,1680,150947.54,98418.65,0.147
372,4,FY2022,495,1025,80457.55,32635.03,0.143
373,12,2021,375,728,46052.0,20111.09,0.127
374,6,2024,550,807,16153.84,5837.52,0.291
375,10,2025,436,0.6k,55073.27,25987.4,0.15
376,12,2021,207,526,43567.99,19059.59,0.281
377,8,FY2024,279,297,7189.28,4975.93,0.174
378,10,2021,75,125,9271.52,6580.84,0.056
379,2,2023,300,690,47324.03,37840.71,0.024
380,11,2024,456,416,16527.02,7817.31,0.086
381,9,2022,392,526,40225.15,225815.0,0.272
382,10,2022,464,431,"$23,939.03",8756.86,0.022
383,6,2025,129,192,16759.14,6037.6,0.232
384,8,2021,526,1434,87664.65,69281.95,0.018
385,9,2021,232,524,49025.38,23069.83,0.229
386,10,2023,356,425,26150.43,14854.71,0.34
387,12,2023,226,232,6877.87,3135.61,0.088
388,2,22,559,1398,85577.39,51003.59,0.04
389,7,2025,471,440,31901.45,19315.15,0.029
390,2,2023,503,863,47742.55,"20,429.71",0.331
391,13,2021,472,814,40460.64,26540.46,0.191
392,5,21,528,488,28041.8,"20,442.74",0.161
393,5,2021,342,386,"16762,65",11828.95,0.182
394,10,2021,324,391,33466.83,25548.69,0.305
395,11,2022,384,1063,82323.99,29864.57,0.023
396,7,2022,232,400,35203.98,21234.68,0.174
397,9,2025,455,1112,52589.08,37576.87,0.338
398,1,2022,329,397,23143.66,"11,223.63",0.277
399,1,2025,644,1542,-74771.16,58328.41,0.187
400,12,2025,549,612,43809.55,31666.98,0.111
401,6,2021,379,442,38382.05,25236.87,0.053
402,11,2023,371,623,40730.46,15853.44,0.309
403,Nov,2023,422,1153,57843.24,46999.47,0.234
404,11,2021.0,589,1218,37488.25,28659.99,0.15
405,5,2025,562,1258,108879.74,42171.42,0.256
406,5,2023,730,857,72056.25,52958.45,0.189
407,2,2021,299,520,42258.34,23912.08,0.125
408,11,2023,556,994,81284.54,41255.79,0.061
409,Mar,2021,520,520,18964.56,7903.04,0.122
410,Jul,2023,485,824,"$62,343.53",40899.81,0.217
411,5,2024,539,0.9k,87694.22,56829.96,0.044
412,3,2023,368,792,34082.14,22922.75,0.024
413,2,2023,453,568,46832.83,22538.76,0.225
414,6,2023,388,849,"$48,795.78",24080.52,0.074
415,2,2021,481,1222,94078.1,67789.88,0.233
416,10,2025,441,582,51131.04,34014.63,0.196
417,8,2023,404,695,58777.12,35673.28,0.133
418,13,2021,303,834,22122.26,12136.22,0.015
419,4,2024,459,624,"$52,473.60",25572.62,0.319
420,1,2022,442,1020,81577.38,29242.48,0.337
421,7,2024,307,754,29916.56,22742.4,0.039
422,3,24,550,1214,72395.41,28623.06,0.085
423,4,2025,417,584,37418.94,18324.12,0.105
424,5,2024,383,875,18993.62,14707.91,0.298
425,8,2025,534,1.4k,44533.18,17239.48,0.084
426,Jul,2021,625,1493,30859.73,19253.98,0.348
427,12,2022,428,396,32478.24,"20,510.65",4.0%
428,Oct,2022,559,552,48598.78,32295.06,0.29
429,11,2021,442,811,41476.9,20695.52,0.152
430,11,24,540,1267,81529.05,62735.46,0.155
431,Jan,2025,613,1215,87604.9,40437.87,0.179
432,9,2024,577,581,27659.88,16020.7,0.228
433,11,2021,434,992,56526.63,36630.89,2.5
434,12,2021,486,636,29168.67,16686.58,0.016
435,Aug,2024,368,1.0k,"$43,905.34",253140.3,0.069
436,1,2025,336,679,26896.96,12030.65,0.181
437,Jan,FY2022,382,918,56959.83,33660.63,0.103
438,Jan,2021,329,876,42547.46,16633.23,0.216
439,4,2025,381,691,58952.76,34308.55,0.246
440,6,2022,324,902,25368.45,12154.63,0.138
441,2,2022,203,530,38679.67,24589.26,0.108
442,4,2023,229,560,51262.21,37727.1,0.001
443,12,2023.0,362,476,10749.7,6812.99,0.24
444,Jul,2023,437,449,"$21,352.46",12051.99,12.9%
445,11,2023,394,907,"21285,1",8251.91,0.124
446,10,2024,301,807,56070.44,37509.72,0.127
447,8,2025,408,845,74633.02,47609.11,0.306
448,9,23,422,948,25864.28,"20,022.91",0.023
449,9,2025,282,232,11715.22,5724.87,0.17
450,10,2022,433,846,18077.25,7372.11,0.196
451,Jan,2025,571,1201,99816.95,67423.52,0.15
452,Jan,2021,316,678,26580.55,13129.92,0.276
453,13,2035,587,1435,120586.35,94156.06,0.151
454,9,2023,389,559,35121.58,18419.55,0.21
455,7,2024,543,841,25943.37,14329.79,0.05
456,9,2021,555,1432,63913.83,27009.73,0.009
457,10,2025,577,854,20087.63,10898.05,0.109
458,10,2023,587,1264,81711.28,42600.92,0.076
459,10,2021,416,905,26084.43,15082.73,0.01
460,2,2024,453,820,75628.06,40126.52,0.014
461,10,2025,409,458,9067.54,6396.43,0.16
462,10,2025,375,516,"$45,050.11",18226.61,0.335
463,Jan,2021,503,1008,82309.72,66875.51,0.101
464,6,2024,379,1031,49477.8,26282.14,0.119
465,7,2024,276,526,31408.13,22239.9,0.292
466,10,2024,437,734,30299.27,14297.84,0.068
467,May,2025,399,534,49349.15,30207.76,0.122
468,1,2023,363,711,20418.6,11407.88,0.219
469,1,2023,116,323,27708.31,17816.47,0.199
470,6,2024,385,785,26298.31,14088.39,0.014
471,8,2025,737,925,85312.95,66326.01,0.253
472,7,2023,239,446,37904.48,15594.15,0.277
473,April,2024,452,610,52176.94,41412.83,0.052
474,8,2023,378,652,60985.49,35200.92,0.302
475,10,2022,207,283,9522.43,6742.31,0.135
476,August,2021,571,1040,58145.42,36126.98,0.303
477,1,2021,413,1013,77867.93,48243.75,0.335
478,10,2023,454,545,14395.27,10816.06,0.154
479,5,2022,491,1008,90046.11,32325.16,16.7
480,1,2023,67,145,10679.02,7213.57,0.047
481,6,2022,303,729,28769.63,"12,918.47",33.5
482,3,2025,254,207,"19630,27",13115.1,0.29
483,7,2025,507,1156,33523.39,23604.19,0.269
484,3,2024,481,1018,78376.76,58593.14,0.215
485,5,2021,416,397,19604.18,10612.53,0.023
486,9,2021,314,470,12477.02,"9,106.61",0.332
487,8,2021,192,183,10348.3,7486.19,0.247
488,12,2025,445,400,9445.38,5094.37,0.103
489,8,24,327,787,70476.29,38085.26,0.317
490,7,2025,307,442,24171.06,11027.65,0.224
491,8,2025,427,647,43919.62,17909.22,0.311
492,2,2024,453,818,43026.74,26907.05,0.219
493,Dec,2024,445,571,41668.36,30692.55,0.281
494,5,2023,361,687,39882.47,16637.04,0.271
495,5,2025,416,569,16105.42,10402.36,0.019
496,7,2024,207,475,20165.74,7059.29,0.179
497,6,2024,380,0.9k,17214.78,8022.21,25.9%
498,5,2024,438,627,16205.26,8415.55,0.095
499,3,2021,362,0.9k,74539.77,41287.15,0.318
500,7,2024,524,814,-75078.51,29428.23,0.24
501,8,2021,127,262,18915.61,6659.25,0.058
502,3,2023,403,897,62172.57,49989.38,0.266
503,12,2024,430,600,"$15,667.86",11241.02,0.225
504,7,2025,443,397,18152.38,14516.38,0.175
505,12,2023,246,299,13870.75,7265.67,0.018
506,3,2022,144,336,16823.8,12389.46,1.25
507,3,2023,494,861,73849.75,33335.64,0.237
508,10,2021,283,570,23220.78,9618.1,0.228
509,7,2022,315,658,31863.7,21833.24,0.07
510,10,2024,555,1432,57466.93,30047.13,0.02
511,8,2024,424,0.6k,46599.9,16631.78,0.133
512,12,2022,299,440,8574.82,3502.41,0.145
513,December,2023,112,208,13275.63,4708.39,0.162
514,7,2023,397,1082,62718.66,41923.97,0.109
515,12,2025,505,930,86632.35,35433.38,0.006
516,6,2021,506,1184,"$94,898.76",38576.1,0.093
517,10,2021,432,646,30119.06,10560.83,0.105
518,7,2022,605,1266,117754.42,88094.27,0.008
519,2,2025,440,1038,55289.77,29694.06,0.106
520,March,2023,449,418,14869.98,6927.98,0.169
521,7,2025,398,0.4k,33396.93,26486.45,0.275
522,11,2024,619,1722,103191.09,82810.97,0.026
523,8,2023,268,319,9200.54,5911.66,0.273
524,July,2023,346,676,19817.7,14491.26,0.223
525,3,2025,609,803,35797.58,"27,965.73",0.102
526,April,2022,298,518,44828.17,30601.01,0.022
527,12,2024,319,340,31198.72,18686.16,0.085
528,8,FY2022,670,1206,84818.9,32725.88,0.096
529,6,2025,398,753,"$38,649.10",14324.63,0.058
530,2,2024,584,987,33663.89,12573.13,0.295
531,9,2024,368,1001,33196.44,26463.27,0.348
532,Aug,2023,490,1089,101873.85,62925.82,0.091
533,12,2025,662,626,41266.19,33473.22,0.067
534,3,2022,256,610,53624.01,42552.78,0.336
535,4,2024,471,1090,33189.08,19055.28,0.251
536,5,2025,422,546,36760.74,24383.48,0.057
537,3,25,598,1075,20351.84,7209.6,0.125
538,10,2023,462,1225,43619.94,28272.3,0.078
539,6,2021,525,1185,30034.71,16563.84,0.01
540,8,2025,365,643,44371.77,18001.46,0.101
541,November,2024,509,1.4k,30427.69,"21,532.88",0.13
